"","CUST_ID","SUB_CUST_ID","FMLY_RELN_CODE"
"1",21564,20967,13
"2",20672,6462,12
"3",1342,12929,17
"4",19239,18556,13
"5",1649,13961,13
"6",15039,13961,13
"7",15963,5767,14
"8",10455,15377,12
"9",12657,17146,99
"10",12921,19488,13
"11",10985,10986,14
"12",9790,19390,14
"13",10221,16258,13
"14",20267,14629,14
"15",21575,5934,17
"16",6504,2839,13
"17",14300,14405,12
"18",20534,12708,14
"19",14611,11714,13
"20",15028,15015,17
"21",3547,5105,13
"22",3363,15070,14
"23",1068,14981,17
"24",5844,11785,13
"25",20882,6532,12
"26",17963,13530,12
"27",4372,11834,13
"28",21022,5968,14
"29",15525,5218,13
"30",18368,8499,14
"31",1696,3990,16
"32",16131,14705,14
"33",4502,3129,12
"34",14487,16787,17
"35",9963,10560,17
"36",5949,22242,99
"37",17331,8408,14
"38",2187,18102,13
"39",10097,5622,12
"40",14981,10744,14
"41",14845,16596,13
"42",8335,11804,13
"43",11546,14610,14
"44",9454,12735,14
"45",16134,19757,14
"46",13530,17963,12
"47",3534,10221,17
"48",5887,10221,99
"49",8347,21277,13
"50",4182,17598,17
"51",8620,1893,12
"52",3709,3190,13
"53",525,5841,14
"54",13961,1649,14
"55",12469,11299,13
"56",8228,11749,12
"57",14038,8338,14
"58",8058,8132,99
"59",8113,560,99
"60",12825,1600,13
"61",10932,11723,13
"62",11306,2891,12
"63",9542,2482,18
"64",21346,21705,12
"65",5887,3534,99
"66",1567,1696,13
"67",14558,21168,12
"68",2993,10926,14
"69",11398,15244,14
"70",9848,16964,14
"71",21916,1933,17
"72",7217,7831,99
"73",5852,4923,13
"74",3408,1525,13
"75",18537,7413,12
"76",14725,8058,17
"77",16989,11721,13
"78",16012,19209,14
"79",17574,4182,99
"80",5949,18165,13
"81",7710,6053,12
"82",1909,11633,13
"83",14786,810,13
"84",16787,14487,17
"85",9963,3990,14
"86",16853,12428,17
"87",19193,18333,13
"88",5218,15525,14
"89",9790,19317,14
"90",15836,7036,12
"91",22034,12277,17
"92",7803,14817,14
"93",10837,21738,14
"94",772,5368,12
"95",1188,13644,13
"96",257,15188,16
"97",12640,12082,13
"98",14629,20267,13
"99",12504,3720,17
"100",1086,1109,12
"101",15010,3567,99
"102",14986,12728,17
"103",5767,15963,13
"104",17717,4471,12
"105",22161,9098,13
"106",19652,4003,14
"107",2760,2695,12
"108",19209,16012,13
"109",14650,3418,12
"110",14981,1068,17
"111",3611,18394,13
"112",17057,19277,17
"113",16099,20684,12
"114",18165,5949,14
"115",8058,5949,16
"116",19774,17551,12
"117",10897,6519,14
"118",4824,7636,14
"119",14817,7803,13
"120",2839,6504,14
"121",15188,257,15
"122",9326,5816,14
"123",10560,1696,13
"124",12957,9790,17
"125",20967,21564,14
"126",12390,13918,13
"127",11633,1909,14
"128",12894,1336,99
"129",15244,11398,13
"130",16772,21387,17
"131",18165,8058,99
"132",2593,11479,12
"133",15700,19130,14
"134",17983,18699,14
"135",10228,13441,13
"136",3741,8621,15
"137",12204,1212,12
"138",1567,9963,17
"139",17598,4182,17
"140",4181,20539,13
"141",560,8113,99
"142",5368,772,12
"143",4664,21481,14
"144",985,10293,14
"145",4965,17021,14
"146",2051,17724,13
"147",5949,14725,17
"148",12329,4658,13
"149",8058,22242,99
"150",361,15873,12
"151",12848,5119,13
"152",6485,8665,13
"153",11557,4927,12
"154",18699,17983,13
"155",8775,2601,13
"156",13441,12539,14
"157",19130,15700,13
"158",17752,19960,13
"159",17574,17598,99
"160",3716,1962,17
"161",12929,1342,17
"162",8060,472,13
"163",20676,5782,14
"164",11723,10932,14
"165",21459,21972,13
"166",22211,22080,17
"167",16112,16012,12
"168",11749,8228,12
"169",1212,12204,12
"170",15070,3363,13
"171",1897,2589,12
"172",10221,3534,17
"173",9963,1696,13
"174",18102,2187,14
"175",10857,9790,13
"176",12495,5225,13
"177",13558,18107,13
"178",985,16781,17
"179",20572,12960,14
"180",19651,13918,12
"181",15113,19640,17
"182",10573,6191,13
"183",1733,6191,13
"184",13644,1188,14
"185",7036,15836,12
"186",18333,19193,14
"187",13143,22182,12
"188",10744,14981,13
"189",10251,11785,13
"190",19495,17196,12
"191",13263,19941,13
"192",472,8060,14
"193",11785,10251,14
"194",14682,9247,13
"195",15015,15028,17
"196",1600,12825,14
"197",4658,12329,14
"198",16809,16926,17
"199",4909,15724,12
"200",17021,4965,13
"201",11721,16989,14
"202",13189,6565,12
"203",7424,19538,14
"204",22242,14725,14
"205",11299,12469,14
"206",13918,12390,14
"207",19277,14095,13
"208",9247,14682,14
"209",22052,16568,12
"210",11368,21396,13
"211",12708,20534,13
"212",6519,10897,13
"213",19757,16134,13
"214",5445,17732,99
"215",5841,525,13
"216",21972,21459,14
"217",10074,12382,17
"218",14610,11546,13
"219",17146,12657,99
"220",21481,4664,13
"221",9790,10857,14
"222",18165,8132,99
"223",13179,6208,12
"224",18394,12478,14
"225",4927,11557,12
"226",22080,22211,17
"227",9918,939,17
"228",17574,11703,13
"229",10926,2993,13
"230",14095,19277,14
"231",1962,3716,17
"232",1011,257,13
"233",12007,14023,12
"234",19317,9790,13
"235",16438,9133,14
"236",4923,5852,14
"237",4183,21448,17
"238",13987,19313,14
"239",939,9918,17
"240",21448,4183,17
"241",20684,16099,12
"242",12382,10074,17
"243",19960,17752,14
"244",10337,1121,13
"245",20165,20276,12
"246",19640,15113,17
"247",5225,12495,14
"248",13411,20220,13
"249",4003,19652,13
"250",18352,21309,14
"251",12390,19651,13
"252",1696,9963,14
"253",10560,9963,17
"254",12277,22034,17
"255",110,8661,14
"256",3418,14650,12
"257",8132,18165,99
"258",21387,16772,17
"259",11703,17574,14
"260",16527,22258,12
"261",15724,4909,12
"262",14705,16131,13
"263",12428,16853,17
"264",285,15250,16
"265",14725,22242,13
"266",11834,4372,14
"267",10603,17380,13
"268",18405,18283,12
"269",11785,5844,14
"270",17380,10603,14
"271",19538,7424,13
"272",1696,1567,14
"273",9963,1567,17
"274",15761,12867,17
"275",21738,10837,13
"276",14690,16363,13
"277",19230,17942,13
"278",8408,17331,13
"279",16012,16112,12
"280",19209,16112,13
"281",10930,11221,12
"282",14023,12007,12
"283",7413,18537,12
"284",2589,1897,12
"285",2810,7178,12
"286",12645,2996,12
"287",5949,8132,99
"288",1906,8636,13
"289",5685,20685,13
"290",3852,2012,14
"291",14725,5949,17
"292",15873,361,12
"293",8629,14679,13
"294",12960,20572,13
"295",9790,12957,17
"296",7636,4824,13
"297",10293,985,13
"298",3129,4502,12
"299",257,1011,14
"300",9108,21820,14
"301",21309,18352,13
"302",13918,19651,12
"303",9133,16438,13
"304",10986,10985,13
"305",3190,3709,14
"306",21401,4965,13
"307",1525,3408,14
"308",545,7250,12
"309",15250,285,15
"310",21401,17021,99
"311",8058,14725,17
"312",18107,13558,14
"313",1109,1086,12
"314",18165,22242,99
"315",19651,12390,14
"316",12082,12640,14
"317",5968,21022,13
"318",19488,12921,14
"319",11714,14611,14
"320",19277,17057,17
"321",14095,17057,14
"322",5622,10097,12
"323",17317,22156,12
"324",20220,13411,14
"325",13506,8104,14
"326",17942,19230,14
"327",21396,11368,14
"328",6132,3567,99
"329",15176,21615,16
"330",7250,545,12
"331",6208,13179,12
"332",22156,17317,12
"333",7178,2810,12
"334",6191,10573,14
"335",2012,3852,13
"336",2482,9542,99
"337",4965,21401,14
"338",8104,13506,13
"339",12478,18394,13
"340",12867,15761,17
"341",13441,10228,14
"342",21820,9108,13
"343",21705,21346,12
"344",3720,12504,17
"345",6053,7710,12
"346",5119,12848,14
"347",4603,3630,14
"348",16781,985,17
"349",19313,13987,13
"350",21277,8347,14
"351",16964,9848,13
"352",11804,8335,14
"353",1121,10337,14
"354",10140,10178,17
"355",6532,20882,12
"356",16596,14845,14
"357",3990,9963,13
"358",16112,19209,14
"359",8621,3741,16
"360",8338,14038,13
"361",18556,19239,14
"362",2601,8775,14
"363",8661,110,13
"364",18394,3611,14
"365",1893,8620,12
"366",2695,2760,12
"367",8279,6085,12
"368",16781,10293,14
"369",16926,16809,17
"370",6565,13189,12
"371",1696,10560,14
"372",19546,10491,17
"373",8665,6485,14
"374",17057,14095,13
"375",5816,9326,13
"376",20276,20165,12
