"","CLLT_FP_PRNO","INCB_DVSN","ETRS_YM","FIRE_YM","BEFO_JOB","EDGB","BRCH_CODE","ETRS_YM_YEAR","FIRE_YM_YEAR"
"1",6200,"R","200306","200407","기타","고졸",25,2003,2004
"2",2316,"R","200104","200904","보험관계인","대학원졸",11,2001,2009
"3",6207,"R","200306","200311","무직","고졸",32,2003,2003
"4",20797,"R","198605","200804","기타","고졸",59,1986,2008
"5",26245,"R","199707","201508","기타","고졸",207,1997,2015
"6",5175,"R","200202","201002","기타","고졸",262,2002,2010
"7",5224,"R","200202","201107","보험관계인","고졸",273,2002,2011
"8",21030,"R","198809","200606","기타","고졸",129,1988,2006
"9",26262,"R","199706","200502","무직","고졸",78,1997,2005
"10",29464,"R","199811","200804","기타","고졸",45,1998,2008
"11",6478,"R","200308","201401","기타","#",21,2003,2014
"12",27922,"R","199812","200504","보험관계인","고졸",198,1998,2005
"13",5481,"R","200208","200502","기타","고졸",47,2002,2005
"14",25683,"R","199605","201204","기타","전문대졸",160,1996,2012
"15",25425,"P","199604","999912","기타","#",121,1996,9999
"16",6720,"R","200310","200403","무직","#",103,2003,2004
"17",22629,"P","199201","999912","기타","고졸",167,1992,9999
"18",5469,"R","200208","200504","기타","고졸",42,2002,2005
"19",3729,"R","200108","200408","기타","고졸",204,2001,2004
"20",3829,"R","200111","200508","보험관계인","고졸",44,2001,2005
"21",7389,"R","200402","200412","기타","#",45,2004,2004
"22",6668,"R","200309","200407","기타","#",10,2003,2004
"23",29681,"R","199904","200411","기타","#",19,1999,2004
"24",7550,"R","200403","201503","기타","#",42,2004,2015
"25",30446,"R","199907","201311","무직","#",44,1999,2013
"26",5642,"R","200303","200408","기타","대학졸",204,2003,2004
"27",6974,"R","200312","200502","기타","#",17,2003,2005
"28",2224,"R","200104","200408","보험관계인","#",204,2001,2004
"29",26116,"R","199711","200507","기타","고졸",16,1997,2005
"30",24044,"R","199506","201205","기타","고졸",58,1995,2012
"31",7172,"R","200401","200511","기타","#",141,2004,2005
"32",7060,"R","200312","200408","기타","고졸",74,2003,2004
"33",6232,"R","200307","200708","무직","고졸",196,2003,2007
"34",21634,"P","199007","999912","기타","#",29,1990,9999
"35",26441,"R","199706","200706","기타","고졸",59,1997,2007
"36",8020,"R","200406","200709","무직","고졸",37,2004,2007
