CLLT_FP_PRNO,FP_SIU_Y_RATE,FP_SIU_N_RATE
2,0,50
3,0,67
4,0,50
5,0,50
6,0,67
7,0,50
8,0,75
9,21,79
10,94,0
11,0,94
12,0,67
13,0,50
14,0,50
15,0,88
16,0,50
17,0,80
18,50,0
19,0,50
20,33,33
21,0,50
22,0,83
23,0,50
24,0,50
25,0,67
26,0,50
27,0,80
28,0,96
29,0,92
30,10,80
31,0,80
32,18,80
33,0,93
34,0,96
36,0,83
37,0,50
38,0,83
39,0,67
41,0,67
42,0,67
43,50,0
44,0,67
45,0,83
46,0,50
47,1,98
48,0,80
49,0,50
50,21,79
51,0,75
52,50,0
53,0,50
54,0,94
55,25,75
56,0,67
57,0,67
58,0,50
59,0,90
60,0,80
61,0,50
62,0,50
63,0,83
64,0,75
65,0,75
66,0,50
67,0,75
68,0,67
69,0,50
70,0,86
71,8,92
72,0,50
73,0,99
74,0,89
75,0,89
76,0,67
77,8,83
78,0,83
79,0,67
80,1,97
81,0,83
82,1,99
83,8,85
84,0,50
85,0,67
86,22,77
87,0,86
88,20,60
89,0,50
90,0,92
91,0,86
92,0,83
93,1,99
94,11,89
95,0,75
96,0,75
97,0,90
98,9,89
99,4,91
100,0,50
101,0,75
102,0,94
103,50,0
104,0,50
105,0,67
106,0,67
107,0,97
108,0,50
109,0,75
110,0,75
111,0,67
112,16,83
113,1,99
114,0,50
116,18,81
117,0,80
118,0,86
119,0,83
120,10,90
121,1,97
122,7,86
123,0,50
124,0,50
125,0,67
126,0,80
127,0,88
128,0,80
129,0,83
130,14,71
131,0,50
132,95,0
133,0,50
134,0,83
135,0,91
136,0,50
137,0,50
138,0,89
139,0,94
140,0,75
141,0,50
142,0,97
143,3,95
144,0,50
146,0,50
147,0,50
148,0,50
149,13,85
150,0,83
151,0,67
152,14,71
153,0,50
154,0,67
155,0,75
156,0,83
157,0,89
158,0,67
159,0,50
160,0,50
161,0,67
162,0,75
163,14,85
164,0,93
165,0,75
166,0,88
167,0,94
168,0,67
169,0,67
170,0,50
171,0,75
172,0,67
173,67,0
174,0,50
175,0,86
177,0,80
178,14,71
179,0,80
180,0,91
181,0,50
182,0,80
183,0,50
184,75,0
185,93,3
186,0,67
187,0,89
188,27,64
189,0,86
190,0,67
191,80,0
192,13,75
193,0,90
194,0,50
195,0,67
196,0,67
197,0,50
198,0,83
199,0,50
200,0,50
201,0,88
202,0,67
203,0,67
204,0,93
205,0,95
206,0,75
207,0,86
208,0,88
209,0,50
210,0,75
211,0,50
213,0,83
214,0,50
215,0,75
216,50,0
217,0,67
218,0,50
219,0,67
220,0,50
221,0,90
222,0,83
223,0,75
224,0,89
225,0,75
226,0,50
227,0,83
228,0,67
229,0,67
230,0,67
231,0,67
232,0,50
233,0,67
234,0,67
235,0,95
236,0,80
237,0,67
238,0,75
239,75,0
240,0,80
241,0,50
242,0,50
243,48,48
244,0,92
245,0,95
246,0,50
247,0,80
249,0,75
250,0,90
251,0,75
252,0,50
253,0,83
254,0,97
255,0,50
256,0,50
257,67,0
258,0,80
259,0,88
261,0,90
262,50,0
263,0,50
264,0,75
265,0,75
267,0,88
268,0,86
269,0,50
270,0,88
271,0,75
272,0,92
273,0,50
274,0,86
275,0,50
276,0,75
277,0,50
278,0,67
279,0,80
280,0,50
281,0,67
282,0,50
283,0,50
284,50,0
285,0,50
286,0,89
287,0,83
289,0,75
290,0,50
291,0,96
292,0,75
293,0,67
294,0,50
295,0,50
296,0,83
297,0,88
298,0,83
299,0,67
300,0,50
301,0,75
302,0,50
303,0,50
304,0,50
305,0,75
306,0,91
307,0,89
308,0,75
309,0,92
310,50,0
311,0,80
312,0,50
313,0,92
314,50,0
315,0,50
316,98,0
317,0,80
318,0,67
319,0,88
320,50,0
321,88,0
322,0,80
323,0,80
324,0,95
325,0,75
326,0,50
327,0,92
328,50,38
329,92,0
330,0,67
331,0,83
332,0,92
333,0,75
335,0,50
336,0,50
337,0,96
338,0,83
339,0,80
340,0,80
341,0,94
342,0,90
343,0,50
344,0,50
345,0,50
346,0,67
347,0,50
348,0,50
349,0,50
350,0,90
351,36,55
352,0,50
353,67,0
354,0,50
355,0,67
356,0,91
357,0,50
358,0,67
359,88,0
360,0,89
361,0,50
362,0,80
363,0,80
364,0,50
365,0,92
366,0,93
368,0,89
369,0,67
370,0,50
371,0,75
372,0,75
373,0,75
375,0,90
376,0,50
377,0,67
378,0,75
379,0,98
380,0,50
381,0,67
382,0,67
383,0,67
384,0,75
385,0,67
386,0,50
387,0,95
388,0,89
389,0,75
390,0,75
391,50,0
392,93,0
395,0,88
396,0,92
397,0,67
398,88,0
399,0,50
400,0,88
401,0,67
402,0,75
403,0,50
404,0,88
405,0,94
406,0,90
407,0,50
408,0,67
409,0,50
410,0,86
411,0,83
413,0,75
415,50,0
416,0,80
417,0,89
418,0,67
419,0,50
420,0,83
421,0,67
422,0,67
423,50,0
424,0,80
425,17,67
426,0,50
427,0,75
428,33,56
430,0,50
431,0,75
432,0,50
433,0,50
434,0,83
435,0,50
436,0,80
437,0,75
438,0,50
439,0,86
440,0,96
441,0,92
442,0,80
443,0,67
444,50,0
445,0,89
446,0,67
447,50,0
448,0,83
450,0,94
451,0,67
452,0,67
453,0,92
454,0,67
455,0,89
456,0,67
457,93,0
459,0,50
460,0,80
461,0,96
462,0,90
463,25,63
464,0,93
465,0,90
466,0,89
467,0,89
468,0,92
469,0,50
470,0,67
471,0,94
472,75,0
473,0,88
474,0,50
475,50,0
476,0,80
477,0,80
478,0,50
479,0,50
480,0,75
481,0,91
482,0,93
483,0,67
484,0,80
485,0,50
486,0,80
487,0,67
488,0,75
489,0,89
490,0,75
491,0,67
492,0,50
493,0,50
494,0,75
495,0,75
496,86,0
497,61,38
498,0,80
499,0,90
500,0,50
501,0,89
502,0,50
503,0,83
504,0,50
505,0,50
506,0,50
508,0,80
509,0,67
510,0,50
511,0,86
512,0,50
513,0,75
514,0,80
515,0,50
516,94,0
517,0,67
518,0,67
519,50,0
520,0,67
521,0,50
522,0,95
523,67,0
524,80,0
525,94,0
526,0,80
527,0,50
528,0,92
529,0,91
530,0,50
531,79,18
532,0,93
533,43,43
534,0,67
535,0,91
536,0,98
537,0,50
538,0,67
539,0,50
540,0,50
541,0,91
542,0,50
543,0,67
544,0,50
545,0,88
546,0,50
547,0,80
548,50,0
549,0,50
550,50,0
551,0,50
552,0,67
553,0,83
554,0,50
555,0,50
556,0,50
557,0,86
558,0,67
559,0,67
560,0,80
561,0,50
562,0,83
564,0,67
565,0,50
566,0,80
567,0,80
568,0,93
569,0,92
570,0,92
571,0,88
572,0,83
573,0,80
574,0,67
575,0,50
576,0,86
577,0,50
579,0,67
581,0,50
584,0,67
585,0,75
586,0,92
587,0,50
588,0,50
589,0,94
590,0,80
593,0,50
594,0,67
595,0,80
596,0,86
597,94,0
598,0,88
599,0,50
601,0,67
602,0,80
603,0,67
604,0,88
605,0,50
606,0,88
607,0,75
608,0,67
609,0,50
610,0,50
611,25,50
612,0,86
613,0,88
614,0,80
615,0,50
616,0,50
617,0,50
618,0,50
619,0,50
620,0,80
621,0,67
622,0,50
623,0,50
624,0,50
625,0,50
626,0,75
627,0,88
628,0,75
629,0,50
630,0,80
631,0,67
632,0,95
634,0,50
635,0,67
636,0,50
637,0,67
638,0,67
639,0,75
640,0,50
641,0,50
643,0,67
644,0,80
645,67,0
646,0,50
647,0,50
648,0,80
649,0,96
650,0,97
651,0,83
652,0,50
653,0,75
654,0,50
655,0,50
656,0,50
657,0,50
658,0,88
659,0,67
660,0,86
661,0,86
662,0,88
663,0,95
664,0,67
665,0,91
666,0,50
667,0,75
668,80,0
669,0,67
670,0,86
671,0,80
672,0,50
673,0,88
674,0,67
675,0,86
676,0,67
677,0,50
678,0,75
679,67,0
680,50,0
681,0,50
682,50,0
683,0,75
684,0,80
685,0,96
686,0,67
687,50,0
688,0,86
689,0,80
690,50,38
691,0,50
693,0,67
694,0,88
695,0,67
696,0,94
697,0,50
698,0,88
699,0,75
700,0,50
701,0,50
704,0,83
705,0,86
706,0,95
707,0,80
708,0,50
710,0,50
711,0,75
712,0,80
713,0,50
714,0,98
715,0,80
716,0,75
717,0,50
718,55,41
719,0,50
720,0,67
721,0,50
722,0,88
723,50,0
724,0,92
725,0,80
726,0,50
727,0,80
728,0,86
729,0,86
731,0,80
732,0,67
734,0,86
735,0,50
736,0,80
737,0,75
738,0,50
739,0,67
740,0,67
741,0,50
742,0,67
743,0,50
744,0,93
745,0,88
746,0,50
747,0,75
748,0,94
749,0,50
750,0,50
751,0,98
752,0,80
753,0,50
754,0,50
755,50,0
756,0,80
757,0,88
758,0,67
759,0,67
760,0,98
761,0,50
762,0,67
764,0,50
765,0,50
766,0,67
767,0,90
768,0,75
769,50,0
770,0,75
771,0,67
772,0,67
773,0,94
774,0,50
775,0,92
776,0,80
777,0,67
778,0,67
779,0,86
780,0,67
781,0,75
782,0,50
783,0,80
785,0,50
786,0,67
787,0,75
788,0,67
789,0,86
791,0,50
792,0,67
793,0,75
795,0,86
796,0,83
797,0,50
798,0,80
799,0,67
800,0,50
801,0,80
802,0,86
803,0,94
804,0,91
805,0,50
806,0,50
807,0,50
808,0,90
809,0,93
810,0,75
811,0,88
812,0,67
813,89,0
814,0,83
815,0,80
816,0,67
817,0,67
818,0,95
819,0,67
820,0,83
821,0,75
822,0,92
823,0,67
824,0,50
825,97,0
826,0,86
827,0,67
828,0,92
829,0,75
830,75,0
831,0,97
832,0,50
833,0,67
834,0,67
835,0,80
836,0,75
837,0,75
838,0,83
839,0,86
840,0,50
841,0,67
842,0,50
843,0,67
844,0,50
845,0,50
846,0,80
847,0,50
848,0,80
850,0,83
851,0,50
852,98,0
853,0,75
854,0,67
855,50,0
856,50,0
857,50,0
858,0,75
859,0,88
860,0,88
861,0,67
862,0,67
863,0,67
864,50,0
865,0,50
866,0,50
867,0,50
869,0,80
870,0,50
871,0,83
872,0,80
874,0,50
875,0,67
876,0,92
877,0,50
878,0,75
879,0,75
880,0,92
881,0,89
882,0,67
884,0,50
885,50,0
886,0,67
888,50,0
889,88,0
890,0,67
891,0,50
892,0,90
893,0,86
894,31,65
895,0,67
898,0,50
899,50,0
901,0,75
902,0,50
903,0,50
904,0,75
905,0,50
906,0,67
908,0,50
910,0,83
911,0,98
912,0,92
913,0,89
914,75,0
915,0,97
916,0,50
917,0,67
918,16,81
919,0,86
920,0,50
921,0,92
922,0,67
923,0,50
924,0,83
925,0,75
926,0,67
927,0,88
928,0,75
929,0,80
930,50,0
931,0,83
932,0,50
933,0,50
934,0,67
935,0,50
936,0,50
937,0,94
938,0,67
939,0,80
940,75,0
941,0,75
942,97,0
943,0,97
944,0,91
945,0,67
946,0,50
947,50,0
948,0,93
949,0,86
950,0,91
951,0,67
952,0,83
953,50,0
954,0,50
955,0,50
956,0,89
957,0,88
958,0,80
959,0,50
960,0,50
961,0,67
962,0,50
963,0,50
964,0,67
965,0,50
966,0,80
967,0,67
968,0,92
972,0,75
973,0,50
974,14,71
975,0,50
976,39,56
977,83,0
978,0,75
979,0,67
980,0,92
981,0,92
982,0,50
983,0,50
984,0,75
985,0,80
986,0,67
987,0,67
988,0,67
989,0,67
990,0,80
991,0,50
993,0,86
994,0,50
995,0,75
996,0,83
997,0,93
998,0,88
999,0,75
1000,0,50
1001,0,50
1002,0,50
1003,0,50
1004,0,50
1005,0,50
1006,0,50
1007,0,91
1008,0,83
1009,0,88
1010,0,95
1011,0,67
1012,0,75
1013,0,92
1014,0,86
1015,0,86
1016,0,88
1017,0,75
1019,0,67
1021,0,75
1022,0,86
1023,0,50
